FECHA,VV
2019-05-24,20273.35
2019-05-25,14684.06
2019-05-27,19891.06
2019-05-28,20077.82
2019-05-29,16580.96
2019-05-30,40492.27
2019-05-31,10488.76
2019-06-01,5739.12
2019-06-03,15893.26
2019-06-04,12479.08
2019-06-05,8823.06
2019-06-06,15141.27
2019-06-07,17203.57
2019-06-08,5452.25
2019-06-09,597.22
2019-06-10,11436.49
2019-06-11,11714.17
2019-06-12,11133.93
2019-06-13,16250.58
2019-06-14,10466.37
2019-06-15,2342.97
2019-06-16,2603.68
2019-06-17,12557.12
2019-06-18,11698.14
2019-06-19,28486.51
2019-06-20,9294.01
2019-06-21,17093.17
2019-06-22,3560.41
2019-06-23,0.0
2019-06-24,11649.14
2019-06-25,22045.52
2019-06-26,23488.98
2019-06-27,15439.16
2019-06-28,20329.26
2019-06-29,4317.85
2019-06-30,83.83
2019-07-01,1790.69
2019-07-02,8081.69
2019-07-03,7421.48
2019-07-04,15228.06
2019-07-05,24060.88
2019-07-06,2699.91
2019-07-08,10024.5
2019-07-09,12642.69
2019-07-10,13861.73
2019-07-11,9953.72
2019-07-12,15379.58
2019-07-13,9537.66
2019-07-15,15456.9
2019-07-16,13258.76
2019-07-17,13914.94
2019-07-18,12310.51
2019-07-19,10311.81
2019-07-20,4244.56
2019-07-22,12230.23
2019-07-23,16348.93
2019-07-24,7891.8
2019-07-25,8052.38
2019-07-26,9349.46
2019-07-27,3289.89
2019-07-30,13923.21
2019-07-31,9678.36
2019-08-01,15070.03
2019-08-02,9733.9
2019-08-03,3907.48
2019-08-04,0.0
2019-08-05,11758.71
2019-08-06,11617.62
2019-08-07,20993.68
2019-08-08,15252.81
2019-08-09,8944.64
2019-08-10,1768.85
2019-08-12,5878.36
2019-08-13,9136.25
2019-08-14,7217.92
2019-08-15,9470.8
2019-08-16,10305.29
2019-08-17,1841.62
2019-08-19,5656.11
2019-08-20,18928.48
2019-08-21,5418.15
2019-08-22,12170.9
2019-08-23,14631.29
2019-08-24,6628.67
2019-08-26,14294.66
2019-08-27,14597.94
2019-08-28,20208.0
2019-08-29,8613.97
2019-08-30,3143.94
2019-08-31,11615.36
2019-09-02,8417.3
2019-09-03,14448.6
2019-09-04,12587.3
2019-09-05,14007.14
2019-09-06,6628.8
2019-09-07,3798.26
2019-09-09,8647.34
2019-09-10,11085.09
2019-09-11,15593.86
2019-09-12,11025.93
2019-09-13,16508.52
2019-09-14,3074.42
2019-09-16,10821.96
2019-09-17,20536.81
2019-09-18,19863.22
2019-09-19,17495.9
2019-09-20,5477.65
2019-09-21,4607.09
2019-09-23,16264.64
2019-09-24,15108.38
2019-09-25,20650.63
2019-09-26,18228.85
2019-09-27,19949.23
2019-09-28,8476.71
2019-09-30,21619.61
2019-10-01,11050.37
2019-10-02,16253.05
2019-10-03,13065.31
2019-10-04,14408.64
2019-10-05,6745.79
2019-10-07,19557.64
2019-10-08,2820.45
2019-10-09,21414.78
2019-10-10,20174.66
2019-10-11,23574.56
