var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
-0.6007793,-0.36327446,-0.84312755,-0.63085866,-0.50039804,-0.48714167,-0.67019576,-0.71038926
-0.36327446,-0.84312755,-0.63085866,-0.50039804,-0.48714167,-0.67019576,-0.71038926,-0.8454653
-0.84312755,-0.63085866,-0.50039804,-0.48714167,-0.67019576,-0.71038926,-0.8454653,-0.6955988
-0.63085866,-0.50039804,-0.48714167,-0.67019576,-0.71038926,-0.8454653,-0.6955988,-0.8354969
-0.50039804,-0.48714167,-0.67019576,-0.71038926,-0.8454653,-0.6955988,-0.8354969,-0.60773516
-0.48714167,-0.67019576,-0.71038926,-0.8454653,-0.6955988,-0.8354969,-0.60773516,-0.98440135
-0.67019576,-0.71038926,-0.8454653,-0.6955988,-0.8354969,-0.60773516,-0.98440135,-0.99712867
-0.71038926,-0.8454653,-0.6955988,-0.8354969,-0.60773516,-0.98440135,-0.99712867,-0.9994134
-0.8454653,-0.6955988,-0.8354969,-0.60773516,-0.98440135,-0.99712867,-0.9994134,-0.60586107
-0.6955988,-0.8354969,-0.60773516,-0.98440135,-0.99712867,-0.9994134,-0.60586107,-0.8084129
-0.8354969,-0.60773516,-0.98440135,-0.99712867,-0.9994134,-0.60586107,-0.8084129,-0.6896596
-0.60773516,-0.98440135,-0.99712867,-0.9994134,-0.60586107,-0.8084129,-0.6896596,-0.48462075
-0.98440135,-0.99712867,-0.9994134,-0.60586107,-0.8084129,-0.6896596,-0.48462075,-0.54423654
-0.99712867,-0.9994134,-0.60586107,-0.8084129,-0.6896596,-0.48462075,-0.54423654,-0.76752305
-0.9994134,-0.60586107,-0.8084129,-0.6896596,-0.48462075,-0.54423654,-0.76752305,-0.44005066
-0.60586107,-0.8084129,-0.6896596,-0.48462075,-0.54423654,-0.76752305,-0.44005066,-0.48891193
-0.8084129,-0.6896596,-0.48462075,-0.54423654,-0.76752305,-0.44005066,-0.48891193,-0.42986178
-0.6896596,-0.48462075,-0.54423654,-0.76752305,-0.44005066,-0.48891193,-0.42986178,-0.46243846
-0.48462075,-0.54423654,-0.76752305,-0.44005066,-0.48891193,-0.42986178,-0.46243846,-0.1974861
-0.54423654,-0.76752305,-0.44005066,-0.48891193,-0.42986178,-0.46243846,-0.1974861,-0.63204193
-0.76752305,-0.44005066,-0.48891193,-0.42986178,-0.46243846,-0.1974861,-0.63204193,-0.9495713
-0.44005066,-0.48891193,-0.42986178,-0.46243846,-0.1974861,-0.63204193,-0.9495713,-0.47385693
-0.48891193,-0.42986178,-0.46243846,-0.1974861,-0.63204193,-0.9495713,-0.47385693,-0.48013127
-0.42986178,-0.46243846,-0.1974861,-0.63204193,-0.9495713,-0.47385693,-0.48013127,-0.4967357
-0.46243846,-0.1974861,-0.63204193,-0.9495713,-0.47385693,-0.48013127,-0.4967357,-0.7132766
-0.1974861,-0.63204193,-0.9495713,-0.47385693,-0.48013127,-0.4967357,-0.7132766,-0.7826759
-0.63204193,-0.9495713,-0.47385693,-0.48013127,-0.4967357,-0.7132766,-0.7826759,-0.6466389
-0.9495713,-0.47385693,-0.48013127,-0.4967357,-0.7132766,-0.7826759,-0.6466389,-0.27551174
-0.47385693,-0.48013127,-0.4967357,-0.7132766,-0.7826759,-0.6466389,-0.27551174,-0.16929841
-0.48013127,-0.4967357,-0.7132766,-0.7826759,-0.6466389,-0.27551174,-0.16929841,-0.09961146
-0.4967357,-0.7132766,-0.7826759,-0.6466389,-0.27551174,-0.16929841,-0.09961146,-0.70703924
-0.7132766,-0.7826759,-0.6466389,-0.27551174,-0.16929841,-0.09961146,-0.70703924,-0.54285526
-0.7826759,-0.6466389,-0.27551174,-0.16929841,-0.09961146,-0.70703924,-0.54285526,-0.23849857
-0.6466389,-0.27551174,-0.16929841,-0.09961146,-0.70703924,-0.54285526,-0.23849857,-0.56842566
-0.27551174,-0.16929841,-0.09961146,-0.70703924,-0.54285526,-0.23849857,-0.56842566,-0.47835612
-0.16929841,-0.09961146,-0.70703924,-0.54285526,-0.23849857,-0.56842566,-0.47835612,-0.45325357
-0.09961146,-0.70703924,-0.54285526,-0.23849857,-0.56842566,-0.47835612,-0.45325357,-0.4098121
-0.70703924,-0.54285526,-0.23849857,-0.56842566,-0.47835612,-0.45325357,-0.4098121,-0.66407794
-0.54285526,-0.23849857,-0.56842566,-0.47835612,-0.45325357,-0.4098121,-0.66407794,-0.6969072
-0.23849857,-0.56842566,-0.47835612,-0.45325357,-0.4098121,-0.66407794,-0.6969072,-0.42755985
-0.56842566,-0.47835612,-0.45325357,-0.4098121,-0.66407794,-0.6969072,-0.42755985,-0.5414228
-0.47835612,-0.45325357,-0.4098121,-0.66407794,-0.6969072,-0.42755985,-0.5414228,-0.4982108
-0.45325357,-0.4098121,-0.66407794,-0.6969072,-0.42755985,-0.5414228,-0.4982108,-0.3977024
-0.4098121,-0.66407794,-0.6969072,-0.42755985,-0.5414228,-0.4982108,-0.3977024,-0.57153094
-0.66407794,-0.6969072,-0.42755985,-0.5414228,-0.4982108,-0.3977024,-0.57153094,-0.31058532
-0.6969072,-0.42755985,-0.5414228,-0.4982108,-0.3977024,-0.57153094,-0.31058532,-0.6309737
-0.42755985,-0.5414228,-0.4982108,-0.3977024,-0.57153094,-0.31058532,-0.6309737,-0.5442979
-0.5414228,-0.4982108,-0.3977024,-0.57153094,-0.31058532,-0.6309737,-0.5442979,-0.27709514
-0.4982108,-0.3977024,-0.57153094,-0.31058532,-0.6309737,-0.5442979,-0.27709514,-0.7192293
-0.3977024,-0.57153094,-0.31058532,-0.6309737,-0.5442979,-0.27709514,-0.7192293,-0.7586561
-0.57153094,-0.31058532,-0.6309737,-0.5442979,-0.27709514,-0.7192293,-0.7586561,-0.48640823
-0.31058532,-0.6309737,-0.5442979,-0.27709514,-0.7192293,-0.7586561,-0.48640823,-0.42340398
-0.6309737,-0.5442979,-0.27709514,-0.7192293,-0.7586561,-0.48640823,-0.42340398,-0.15064168
-0.5442979,-0.27709514,-0.7192293,-0.7586561,-0.48640823,-0.42340398,-0.15064168,-0.4117729
-0.27709514,-0.7192293,-0.7586561,-0.48640823,-0.42340398,-0.15064168,-0.4117729,-0.5080604
-0.7192293,-0.7586561,-0.48640823,-0.42340398,-0.15064168,-0.4117729,-0.5080604,-0.81634957
-0.7586561,-0.48640823,-0.42340398,-0.15064168,-0.4117729,-0.5080604,-0.81634957,-0.40915567
-0.48640823,-0.42340398,-0.15064168,-0.4117729,-0.5080604,-0.81634957,-0.40915567,0.0572412
-0.42340398,-0.15064168,-0.4117729,-0.5080604,-0.81634957,-0.40915567,0.0572412,-0.3281623
-0.15064168,-0.4117729,-0.5080604,-0.81634957,-0.40915567,0.0572412,-0.3281623,-0.24321753
-0.4117729,-0.5080604,-0.81634957,-0.40915567,0.0572412,-0.3281623,-0.24321753,-0.5636896
